SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,SHARED_TIME,TITLEI_STATUS,TITLEI_STATUS_TEXT,MAGNET_TEXT,NSLP_STATUS,NSLP_STATUS_TEXT,VIRTUAL,VIRTUAL_TEXT
2017-2018,6,CALIFORNIA,CA,Vasquez High,1,,CA-1975309,600001,CA-1975309-1995786,60000103278,603278,Missing,NOTTITLE1ELIG,Not a Title I school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Meadowlark Elementary,1,,CA-1975309,600001,CA-1975309-6115679,60000107534,607534,Missing,SWELIGSWPROG,Title I schoolwide school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,High Desert,1,,CA-1975309,600001,CA-1975309-6107494,60000109444,609444,Missing,TGELGBTGPROG,Title I targeted assistance school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Assurance Learning Academy,1,,CA-1975309,600001,CA-1975309-0127100,60000113121,613121,Missing,MISSING,Missing,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,Inspire Charter,1,,CA-1975309,600001,CA-1975309-0129742,60000113764,613764,Missing,MISSING,Missing,No,NSLPNO,No,FACEVIRTUAL,Virtual with face to face options
2017-2018,6,CALIFORNIA,CA,Albert Einstein Acad for Ltrs Arts & Scis - Odyssey,1,,CA-1975309,600001,CA-1975309-0133231,60000113785,613785,Missing,TGELGBTGPROG,Title I targeted assistance school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,SCALE Leadership Academy,1,,CA-1975309,600001,CA-1975309-0129411,60000113793,613793,Missing,MISSING,Missing,No,NSLPNO,No,FULLVIRTUAL,Full Virtual
2017-2018,6,CALIFORNIA,CA,Albert Einstein Acad Ltrs Arts Scis - Aqua Dulce Part. Acad,1,,CA-1975309,600001,CA-1975309-0131201,60000113828,613828,Missing,TGELGBTGPROG,Title I targeted assistance school,No,NSLPNO,No,NOTVIRTUAL,Not Virtual
2017-2018,6,CALIFORNIA,CA,SIATech Academy South,1,,CA-1975309,600001,CA-1975309-0131383,60000113829,613829,Missing,MISSING,Missing,No,NSLPNO,No,FULLVIRTUAL,Full Virtual
2017-2018,6,CALIFORNIA,CA,Valiant Academy of Los Angeles,1,,CA-1975309,600001,CA-1975309-0130955,60000113838,613838,Missing,TGELGBTGPROG,Title I targeted assistance school,No,NSLPNO,No,FULLVIRTUAL,Full Virtual
